"Tipo_muestra","Orden","ruc","RAZON_SOCIAL","NOMBRE_COMERCIAL","CODIGO_ORGANIZACION_LEGAL","ORGANIZACION_LEGAL","CODIGO_CATESTAB","TIPESTAB","CODIGO_EMPRESA_TIPO","EMPRESA_TIPO","CODIGO_EMPRESA_ESTADO","EMPRESA_ESTADO","CODIGO_ESTADO_HABIDO","ESTADO_HABIDO","UBIGEO","NOMDEP","NOMPROV","NOMDIST","codigo de distrito","CIIU_V3","CIIU_V4","ANIO_CONSTITUCION","ANIO_APERTURA","ANIO_CIERRE","CODIGO_REG_PROPIEDAD","REG_PROPIEDAD","CODIGO_ACTIV_COMERCIO_EXTERIOR","ACTIV_COMERCIO_EXTERIOR","Estado","DESC_ESTADO","DESC_VIA_OTRO","DESC_CONDICION_DOMICILIO","CAPITAL","Region","CODODEI","ODEI","Cono","Descripcion_CIIU","COD_DIVISION","DESCRIP_DIVISION","ESTRATO_INNOVA","COD_SECTOR","SECTOR_CENEC","ID","veneta_mill","tot_vent","part_ing","prob","weight","eeee"
"2","1281","20330096749","COMSATEL PERU SAC","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150120","LIMA","LIMA","MAGDALENA DEL MAR","20","6420","6190","1996","1998","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","MAGDALENA DEL MAR","15 Provincia de Lima","15","Lima","2 Centro","Otras actividades de telecomunicación","61","Telecomunicaciones","5. Gran empresa- mayor a 2300 uit","13","Transportes y Comunicaciones","","20.1414","254687821824",",007908252999187",",03","29.85","29,85"
"2","1297","20502090161","TRIANON ENERGO S.A.","TRIANON ENERGO S.A.","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150141","LIMA","LIMA","SURQUILLO","41","5190","2610","2001","2001","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","SURQUILLO","15 Provincia de Lima","15","Lima","2 Centro","Fabricación de componentes y tableros electrónicos","26","Fabricación de productos de informática, de electrónica y de óptica","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","19.7265","254687821824",",007745364680886",",28","3.64","3,64"
"2","1301","20500269732","POLIMIQ DEL PERU S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150132","LIMA","LIMA","SAN JUAN DE LURIGANCHO","32","2520","2220","2002","2000","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","SAN JUAN DE LURIGANCHO","15 Provincia de Lima","15","Lima","3 Este","Fabricación de productos de plástico","22","Fabricación de productos de caucho y de plástico","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","19.6317","254687821824",",007708145771176",",03","30.05","30,05"
"2","1317","20109161609","ROKER PERU SA","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150135","LIMA","LIMA","SAN MARTIN DE PORRES","35","2423","2100","","1993","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","BARRIO OBRERO INDUSTRIAL","15 Provincia de Lima","15","Lima","1 Norte","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico","21","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","19.2421","254687821824",",007555174175650",",18","5.46","5,46"
"2","1357","20600942396","POLIMEROS Y PLASTICOS ANDINA SAC","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150118","LIMA","LIMA","LURIGANCHO","18","2520","3290","","2016","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","CHOSICA","15 Provincia de Lima","15","Lima","3 Este","Otras industrias manufactureras n.c.p.","32","Otras industrias manufactureras","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","18.1747","254687821824",",007136052940041",",07","13.67","13,67"
"2","1389","20106975737","PIERREND  GOMEZ & ASOCIADOS SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA","-","8","SOCIEDAD CIVIL","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150131","LIMA","LIMA","SAN ISIDRO","31","7412","6920","1980","1990","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","SAN ISIDRO","15 Provincia de Lima","15","Lima","2 Centro","Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal","69","Actividades jurídicas y de contabilidad","5. Gran empresa- mayor a 2300 uit","16","Servicios","","17.4028","254687821824",",006833001971245",",03","29.89","29,89"
"2","1427","20515327321","BHG CORP. SOCIEDAD ANONIMA CERRADA - BHG CORP. S.A.C.","-","9","SOCIEDAD IRREGULAR","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150103","LIMA","LIMA","ATE","03","1511","1010","","2007","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","VITARTE","15 Provincia de Lima","15","Lima","3 Este","Elaboración y conservación de carne","10","Elaboración de productos alimenticios","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","16.5782","254687821824",",006509222555906",",03","29.87","29,87"
"2","1430","20553306541","SHELL OPERACIONES PERU S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150131","LIMA","LIMA","SAN ISIDRO","31","7414","7020","","2013","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","SAN ISIDRO","15 Provincia de Lima","15","Lima","2 Centro","Actividades de consultoría de gestión","70","Actividades de oficinas principales; actividades de consultoría de gestión","5. Gran empresa- mayor a 2300 uit","16","Servicios","","16.5502","254687821824",",006498224101961",",03","29.98","29,98"
"2","1446","20507430555","OEM ELECTRIC SOCIEDAD ANONIMA CERRADA","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150131","LIMA","LIMA","SAN ISIDRO","31","3210","2610","2003","2003","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","SAN ISIDRO","15 Provincia de Lima","15","Lima","2 Centro","Fabricación de componentes y tableros electrónicos","26","Fabricación de productos de informática, de electrónica y de óptica","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","16.1892","254687821824",",006356472149491",",28","3.64","3,64"
"2","1462","20129604175","LOPESA INDUSTRIAL S.A.","SAZON LOPESA","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","120101","JUNIN","HUANCAYO","HUANCAYO","01","1531","1079","1975","1975","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","HUANCAYO","12 Junin","12","Huancayo","","Elaboración de otros productos alimenticios n.c.p.","10","Elaboración de productos alimenticios","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.8985","254687821824",",006242336239666",",03","29.87","29,87"
"2","1473","20513180137","CORPORACION FARMACOLOGICA JJ SALUD SOCIEDAD ANONIMA CERRADA","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150116","LIMA","LIMA","LINCE","16","2423","2100","","2007","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","LINCE","15 Provincia de Lima","15","Lima","2 Centro","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico","21","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.7275","254687821824",",006175196729600",",18","5.46","5,46"
"2","1531","20394053776","INDUSTRIAS PAMPA HERMOSA E.I.R.L.","-","7","EMPRESA INDIVIDUAL DE RESP. LTDA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","160601","LORETO","UCAYALI","CONTAMANA","01","1514","1040","","1901","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","MLC. MALECON|","HABIDO","CONTAMANA","16 Loreto","16","Iquitos","","Elaboración de aceites y grasas de origen vegetal y animal","10","Elaboración de productos alimenticios","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.0000","254687821824",",005889562889934",",03","29.87","29,87"
"2","1559","20510075570","INVERSIONES VITTAPHARMA S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150117","LIMA","LIMA","LOS OLIVOS","17","3311","3250","","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","LAS PALMERAS","15 Provincia de Lima","15","Lima","1 Norte","Fabricación de instrumentos y materiales médicos y odontológicos","32","Otras industrias manufactureras","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.0000","254687821824",",005889562889934",",07","13.67","13,67"
"2","1585","20522594793","D & D TELECOMUNICACIONES S.A.C","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150140","LIMA","LIMA","SANTIAGO DE SURCO","40","6420","6190","","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","SANTIAGO DE SURCO","15 Provincia de Lima","15","Lima","2 Centro","Otras actividades de telecomunicación","61","Telecomunicaciones","5. Gran empresa- mayor a 2300 uit","13","Transportes y Comunicaciones","","15.0000","254687821824",",005889562889934",",03","29.85","29,85"
"2","1594","20536649205","DIMARZA S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","040104","AREQUIPA","AREQUIPA","CERRO COLORADO","04","2811","2511","","1901","","99","No conocido","2","EXPORTADOR","0","ACTIVO","","HABIDO","LA LIBERTAD","04 Arequipa","5","Arequipa","","Fabricación de productos metálicos para uso estructural","25","Fabricación de productos elaborados de metal, excepto maquinaria y equipo","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.0000","254687821824",",005889562889934",",03","29.92","29,92"
"2","1620","20555651555","ENTELGY PERU SOCIEDAD ANONIMA CERRADA","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150122","LIMA","LIMA","MIRAFLORES","22","7220","6202","","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","MIRAFLORES","15 Provincia de Lima","15","Lima","2 Centro","Consultoría de informática y de gestión de instalaciones informáticas","62","Programación informática, consultoría de informática y actividades conexas","5. Gran empresa- mayor a 2300 uit","16","Servicios","","15.0000","254687821824",",005889562889934",",03","29.61","29,61"
